,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,NSE,,,,,,,,,,,,,,,,,,,,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,,,,,,,,,,,,,,,,,,,,,,
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs.,Times,Rs.,,,,,,,,,,,,,,,,,,,,,,
,Mar-05,Mar-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-06,Apr-07,Apr-07,Apr-07,Apr-07,Apr-07,Apr-07,Apr-07,Apr-07,Apr-07,Apr-07,Apr-07,2-Jul-07,2-Jul-07,1-Jul-08,,,,,,,,,,,,,,,,,,,,,,
Company Name,Total assets,Total assets,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Adjusted Opening Price ,P/B ,Adjusted Closing Price ,BM Ratio,Returns,ROA-This Year,ROA-Last Year,Delta_ROA,CFO,NegAccrual,Dliquid,Dlever,Net Sales-This Year,Net Sales-Last Year,Delta_Margin,Delta_Turn,F_ROA,F_DROA,F_CFO,F_Naccrual,F_LIQUID,F_LEVER,F_MARGIN,F_TURN,F_SCORE
A B B India Ltd.,17512.3,23983.5,32510.2,30323.4,,0.7,27.3,20595.85,29709.7,23452.61,1.33,772.2,232,46830,43957,7.1,,15.4,28120.65,42844.6,34608.16,1.33,2453.1,217.1,1104,17.11,766.9,0.05844535359,-0.3053442029,0.1194946526,0.1249122046,-0.005417551991,0.1022828194,-0.01721183314,0,-0.0007778694935,42844.6,29709.7,-0.01836778446,0.08109015641,1,0,1,0,0,1,0,1,4
A C C Ltd.,44607.8,49626.2,41094.5,36105.3,1819.2,51.3,8852.9,47117,31468.2,15898.04,0.68,6263.1,1363.9,67790.1,55159.3,1622.7,,7441.1,54879.1,56513.3,24362.19,0.99,14009.8,771.3,935,4.58,505.15,0.2183406114,-0.4597326203,0.2218203288,0.07221382807,0.1496065007,0.2823065236,0.06048619479,0.31,-0.05230106325,56513.3,31468.2,0.07412197751,0.3619045939,1,1,1,1,1,1,1,1,8
A I A Engineering Ltd.,1716.5,3479.7,3077.1,2722.2,0.5,0.5,0,2598.1,3042.8,2148.63,1.37,181.3,18.9,4370.7,3871.6,0.5,0.2,,4516.6,4023.2,2786.17,1.43,410.7,79.6,359,7.38,249.86,0.135501355,-0.3040111421,0.1433456907,0.2067579377,-0.06341224694,0.1180274162,-0.02531827456,0.06,0,4023.2,3042.8,0.01360994591,-0.2804050074,1,0,1,0,1,1,1,0,5
Aban Offshore Ltd.,10594.7,12815,5054.2,4216,0.1,,6311,11704.85,4885.4,2111.69,0.83,2489.3,117.9,5645.8,4649.8,119.1,,10175.8,15895.7,4954.7,2160.66,2.13,1888.8,554.5,3050.05,29.68,2575.05,0.03369272237,-0.1557351519,0.06842762388,0.07910559053,-0.01067796665,0.1473897776,0.07896215373,1.3,0.1009823427,4954.7,4885.4,-0.003837854476,-0.1056818894,1,0,1,1,1,0,0,0,4
Aditya Birla Nuvo Ltd.,22494.7,44578.1,28400.1,26966.6,14.3,3.4,9572.3,33536.4,26087.6,19365.62,0.93,1769.6,634.8,36930.9,35133.1,54.3,,18208.1,55372.95,33873.6,24765.47,0.75,4832.9,789.1,1350,4.04,1102.6,0.2475247525,-0.1832592593,0.03911113305,0.06324156357,-0.02413043052,0.1084142213,0.06930308829,-0.18,0.04339646075,33873.6,26087.6,0.01121625482,-0.1661535861,1,0,1,1,0,0,1,0,4
Allahabad Bank,451523.2,552984.9,44378.8,37317.5,103.8,0.5,11683.8,496309.05,,5540.38,3.72,-9692.2,42603.5,54675.4,47174,0.6,0.3,18390.5,607510.95,,5299.07,3.57,10039.6,54005.5,82.5,0.97,53.6,1.030927835,-0.3503030303,0.01356474652,0.01541006088,-0.001845314355,0.01815528778,0.004590541261,-0.15,0.006730502228,54005.5,42603.5,0.03192425195,0.003055672836,1,0,1,1,0,0,1,1,5
Alok Industries Ltd.,22502.6,33277.5,15033.7,14144.4,,1.8,17678.2,27890.05,14255.7,10554.19,2.36,3039.4,152.7,20065.3,19071.1,,0.9,26524.3,40637.8,18572.7,13486.36,1.97,1558,868.1,53.25,0.95,30.61,1.052631579,-0.4251643192,0.02990308767,0.03959986846,-0.009696780788,0.04681842085,0.01691533318,-0.39,0.01884690362,18572.7,14255.7,0.01420986997,-0.05410912308,1,0,1,1,0,0,1,0,4
Alstom India Ltd.,8983.3,11394.9,10314.8,9681.7,8.7,,40.7,10093.5,9433.1,7843.64,1.12,2006.3,164.5,13268.9,12175,,,22.5,13116.45,12175,9922.5,0.96,710.5,283.1,809.7,15.52,323.3,0.06443298969,-0.6007163147,0.09599908731,0.06950675142,0.02649233589,0.06235245592,-0.03364663139,-0.16,-0.002316894837,12175,9433.1,0.01651210621,-0.006348035029,1,1,1,0,0,1,1,0,5
Ambuja Cements Ltd.,40953,54654,72721.6,57480,157.5,121,7453.8,54654,62104.6,25355.77,1.17,18016.5,1262,72721.6,57480,157.5,121,7453.8,54654,62104.6,25355.77,1.17,18016.5,1262,124,3.79,73,0.2638522427,-0.4112903226,0.2782065357,0.3712817132,-0.09307517752,0.3296465035,0.0514399678,0,0,62104.6,62104.6,0,0,1,0,1,1,0,1,0,0,4
Amtek Auto Ltd.,16796.9,31417,8949.7,7513.9,,,16425.6,24106.95,8821.7,6147.65,9.63,-608.7,120.9,11957,9769.3,17,,12735.4,31816.15,11161.8,7988.75,2.7,2633.5,751.4,407,3.13,232.2,0.3194888179,-0.4294840295,0.06909316612,0.08548005882,-0.0163868927,0.08382404431,0.01473087819,-6.93,-0.2810826838,11161.8,8821.7,-0.01884422179,-0.01511828165,1,0,1,1,0,1,0,0,4
