,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Annual Finance Standalone
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.,Rs.,Rs. Million
,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,01 Jul 2013,30 Jun 2014,Jul-11
Company Name,Total income,Net sales,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Income from financial services,Current liabilities,Total term liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Net sales,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Income from financial services,Current liabilities,Total term liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Adjusted Closing Price ,Adjusted Closing Price ,Total assets
A C C Ltd.,129788.7,110215.6,61.5,0,118976.6,53992.66,2586.7,24793.6,880.6,121427.1,23059.2,14917.2,3.64,129764.6,109075.7,,157.8,118769.3,56077.02,2204.7,25566.1,30.3,123517.2,23577.3,9605.1,2.66,1220.05,1469.25,121652.6
Adani Enterprises Ltd.,57664,52714.4,525,520.5,55588.5,44651.2,4278.8,24374.7,11873.5,142148.9,30103.9,2015.9,3.35,128330.6,118833.7,62.7,61.7,123972.9,101416.97,9057.3,45869,21538.7,203514.8,64289.4,-438.3,2.15,216.15,455.05,116502.3
Adani Ports & Special Economic Zone Ltd.,25221.5,23061.7,9.5,0,13448.9,8156.28,2061.4,10946.9,46965,131780.4,13585.8,12874.4,4.97,35642.9,29750.7,0,52.7,18101.1,9937.32,5732.6,23172.9,78845.5,182567.4,32115,13470.9,4.15,151.55,243.7,85106.2
Adani Power Ltd.,41942.7,38015.1,28.6,,44881.9,27790.28,2390.8,20437,206848.3,361185,49827.9,5407.8,2.48,69196.8,62115.6,70.1,2416.9,88717.1,59179.74,5659.3,36900.4,255787.5,379833.9,39561.9,,2.09,42.6,62.55,259012.2
Aditya Birla Nuvo Ltd.,90819.3,84204.6,0.9,1038.8,88327.4,64384.55,1729,16249.6,16907.4,125521.6,39633.4,3965.2,1.89,104908.7,97199.6,0,30.2,100820.2,75438.05,1951.7,20274.8,16947.5,136482.6,44494.1,11.7,1.77,1095,1380.3,102486.5
Allahabad Bank,170636.5,,1,0.6,151968.6,13574.82,168425.5,36828.8,90825.5,1829576.1,153086.3,124247.9,0.96,197845.2,,0.9,0.4,185993.1,14849.2,194606.1,41568.9,100975.8,2044291.5,143112.6,,0.6,94.65,145.05,1512910.5
Ambuja Cements Ltd.,114027.3,96683.6,293.3,88.2,103065,47404.3,2820.5,15871.4,428.1,124272.6,37450.8,18283.5,3.52,111063.1,90594.9,387.3,92.1,96934.1,47097.3,3280.2,18860.2,404.8,131007.2,38140.1,12275.1,2.98,189.05,220.6,116317.4
Andhra Bank,122013,,10.4,,108566.3,8638.84,117908.6,24772.7,82405.6,1245782.3,99133.6,37255.6,0.89,139672.5,,4.8,,126781.2,9603.22,134800.7,23051,111193.4,1463268,82514.7,36059.7,0.63,84.45,103,1091092.4
Apollo Tyres Ltd.,89517.2,81625.6,,12.8,87570.5,70514.4,74.9,10941.3,13969.7,63794.7,16661.3,5391.2,1.96,95388,85193.6,,13,92368.5,70617.25,185.2,8792.2,15630.3,65987,16347.2,7672.3,1.81,60.4,199.1,58032.5
Arvind Ltd.,39420.4,35002.3,919.3,0,35043.8,26888.03,3033,6761.2,8762.4,47699,13468.9,3843.8,1.21,39840.7,38765.5,422.5,0,38888.4,28499.76,264.7,7528.9,11057,55667.6,16844,4227,0.99,79.45,233.75,43274.3
Ashok Leyland Ltd.,143971.4,133651.2,34.8,20,140061.9,110204.72,1829.5,36182.2,29961.4,119420.5,38997.1,11041.5,2.79,143448.8,131282.6,41.7,7.2,136318.1,107511.45,3753.5,33716.2,35184.5,131574.9,36903,6851.4,1.84,20.65,36.5,106173.8
Asian Paints Ltd.,92643.4,83073,4,7.5,84497.3,52586.69,933.1,14168.7,1682.2,48261.4,20259,8804.8,12.5,105918,93616.5,36.9,2.2,97177.1,58044.79,651.9,16448.1,541,56815.5,24056.5,10811.2,15.61,471.25,594,38891.7
Aurobindo Pharma Ltd.,43977.9,42769.2,5.8,3198.6,43505.3,34565.02,71,6382.7,11861,61899.6,28585.1,1841.9,1.39,55960.1,54175.3,,30.7,52211,41475.73,203,9622.8,10480.9,70011.7,35251.2,6249.2,1.45,93.45,370.43,58826.8
Axis Bank Ltd.,274363,,203,0,231940.9,20923.45,270842.8,70336.7,340431.7,2856508.6,192709,67329.7,2.08,338576,,,44.7,286781.7,23557.43,335635.4,84479.4,423310.8,3405861.7,260997.1,122717.6,1.84,269.76,383.77,2427460.3
Bajaj Auto Ltd.,211213.9,195041.2,105.5,74.9,182114.9,152760.52,5556.4,26916.4,1250.3,112451.4,39857.2,30054,8.04,219760.4,199778.3,770.2,70.4,189084.7,157167.52,6532.1,26306.6,884.4,126368.7,33898.6,19231.3,6.59,1922.9,2316.2,94194.8
Bank Of Baroda,335891.8,,25.7,17.6,285822.2,23079.98,322593.2,86944.4,234050.5,4473214.7,713022.2,255458,1.24,388423.6,,12.4,20.4,343616.4,27085.25,379251.7,128830.1,262438.6,5471354.5,909963.6,579702,0.92,118.18,175.29,3583971.8
Bank Of India,330920.8,,7.5,,304145.6,24704.24,320800.2,112176.5,317938.8,3845354.8,423076.2,-105417.3,1.05,370968,,0,,343474.5,22020.07,357160.3,111499.7,338793.5,4526027.3,612666.7,257043.5,0.79,242.05,301.55,3511725.6
Bata India Ltd.,19020.6,18249.7,9.6,12.9,17944.1,12179.12,135.1,3506,,11304.5,7009.7,1784,8.3,21297.7,20451.2,0.8,38.8,20603.6,13761.29,190.5,4530.8,,13827.6,8989,1749.9,8.33,419.6,641.27,9242.1
Bharat Forge Ltd.,39270.7,36826.2,6.3,,35812.2,26225.86,630.2,9074.2,19562.5,53837.4,18033.1,6715,3.48,34495.7,31668.9,2.1,0,31298.2,23046.59,632.7,6673.5,17507.6,51798.2,15263.9,5247.4,2.09,224.2,626,44869.6
Bharat Heavy Electricals Ltd.,529802.6,476647.6,40.1,,467635,342625.64,9349.2,335684.3,1881.9,777965.1,585979,-8135.7,2.48,538104.3,480325.6,33.1,,470794.9,345868.89,7997.6,292425.3,2067.7,823927.4,623928.9,18647.8,1.42,179.25,250.3,677157.4
Bharat Petroleum Corpn. Ltd.,2242607.7,2113080.1,771.9,,2235512.7,2017620.3,8552.5,245412.1,215835.8,666544.4,332918.2,8547.6,1.7,2525652.6,2390977.8,,238.5,2513943.3,2272857.54,14372.4,220894.4,226785.7,679703.1,328360.8,54206.4,1.64,374.35,600.4,571988.2
Bharti Airtel Ltd.,422475,415443,,473,365175,266831.3,5530,125977,109317,901466,46895,113762,2.6,468503,453102,0,481,417533,308382.5,14007,158829,133783,995061,48219,138839,2.05,296.15,336.9,796311
Biocon Ltd.,17494,15495,0,,15353,11397,546,3789,1554,28308,8430,1508,2.28,20446,19290,1,,17868,13312.5,410,4272,1031,30199,9798,3318,2.48,284.5,530.75,26141
C E S C Ltd.,48968.1,47307.1,16.8,,43425,33517.92,880.5,34610.2,26442.2,127315.2,22101,10148.4,0.7,56692.3,53763.6,42.8,,50507.3,38127.45,812.5,44376.2,32473.5,149034.7,27365,15969.3,0.61,340.6,706.8,120015.5
Cairn India Ltd.,2489.3,-2,0,0,2049.7,413.95,2456.2,942,0,332656.6,4707,-1210.7,2,191735.8,77639,82661.2,,44408.7,18853.82,7849.2,9620.8,0,382487.8,17232.9,134442.3,1.53,293.6,365.05,333192.7
Canara Bank,339456.3,,21.3,11.3,306629.2,24210.19,326619.7,79444.6,153982,3744671.2,350058.7,162052.2,1.02,376441.2,,24.2,14.9,347720.2,26812.73,364694.5,109984.8,202833.7,4126741.3,437461.7,219447,0.74,384.55,462.4,3362348.7
Century Textiles & Inds. Ltd.,54628,49077.6,28.5,17.3,54856.7,32499.15,115.1,7977.8,25270.3,80649,15156.7,3403.7,1.81,66464,59894.2,26.7,26.3,67408,39899.54,128.5,8978.3,36977.1,91014.4,17101.4,4855.6,1.48,269.3,589.4,64848.4
Chambal Fertilisers & Chemicals Ltd.,66758.7,64636.6,28,91.7,65581,50578.45,1180.9,3678,34114.2,63355.7,28254.8,-5961.6,1.81,74592.9,73418.1,274.2,0,78197.3,57676.11,380.8,7101.9,34993.6,84667.8,48972.3,-12528.9,1.04,38.6,57.5,48266.4
Cipla Ltd.,72230.3,69663.9,11.6,368.5,60878.3,45047.73,1125,9229.7,29.2,96371.9,36793.5,16190.4,3.25,85237.1,81805.2,23.7,159.7,73073.5,49411.25,1863.2,10661.4,6.9,122321.5,42693.4,13552.9,3.44,397.75,438,89881.9
Coal India Ltd.,96243.2,6335,0.2,5.4,15421.6,3250.68,88416.9,83400.9,13627.2,307229.7,158915.3,92883.5,11.1,115562.8,5863.3,0,0,17594.2,3573.86,108053.9,80515.9,11362.3,340478.9,189199.8,105429.8,9.52,305,384.95,276867.5
Colgate-Palmolive (India) Ltd.,28562.2,26733.5,2.9,0,24583.2,14217.92,419.8,5869.1,0.5,16804.1,6219.8,3318.8,34.93,33741.2,31395,0,17.5,28591.7,16854.08,400,7176.5,,20481.4,6998.3,5531.4,34.49,674.67,754.27,14922.6
Crompton Greaves Ltd.,70088.6,65434,,,65113.9,53516.1,649.9,16686.4,72.5,46683.7,26152.5,3737,3.3,77629.2,71865.3,,,73600.7,60140.28,908.7,19629.2,11.3,53858.5,28000.1,1686.6,1.98,89.9,200.7,44183.7
D L F Ltd.,45918,34799.3,0.3,18.1,35500.1,11842.27,10581.3,49639.5,126930.7,360911.3,144058.5,4192,2.36,33518.6,21385.8,0,31.4,28503.1,5651.61,11532.6,60627.4,117368.5,370376.4,178057.4,-1291.1,2.73,189.1,215.05,347905.6
Dabur India Ltd.,38741.5,37503.3,6.5,452.6,34702.4,23387.54,758.6,6407.9,50.3,28778.6,10887.1,4862.2,14.25,44933.4,43453.1,1.1,4.3,38767.5,26832.71,857.2,7087.7,13,33206.7,10339.7,6629.7,15.25,155.3,187.5,24410.7
