,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Annual Finance Standalone
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.,Rs.,Rs. Million
,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jun 2004,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,Jul 2005,01 Jul 2005,30 Jun 2006,Jul-03
Company Name,Total income,Net sales,Income from financial services,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Net sales,Income from financial services,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Adjusted Closing Price ,Adjusted Closing Price ,Total assets
A B B India Ltd.,24965.2,22571,158,38,7.4,23657.8,18237.92,14.9,9279.2,17512.3,13277.5,1772.4,5.8,32510.2,29709.7,232,,0.7,30323.4,23452.61,27.3,13728.7,23983.5,18983,772.2,9.18,266.26,500.38,14478.7
A C C Ltd.,40610.3,31899.5,1112.2,43.8,,38528.1,18746.16,13981.7,6682.2,39363.4,6458.8,4728.1,3.34,46487.2,37869,227.6,121.4,,43237.7,21044.54,12367,7633.9,44607.8,8220.7,5889,4.03,385.85,783.95,36014.5
Aditya Birla Nuvo Ltd.,17716.5,15721.7,437.9,12.9,1.6,16611.1,11366.71,1048.8,2127.4,20652.3,4805.2,2147,0.89,20138.3,18615.9,122.6,50.8,,19060.1,13761.42,2853.1,2285.8,22494.7,6270.2,513.7,1.78,414.77,693.54,18084.1
Allahabad Bank,35946.2,,34666.5,0.5,,31312.4,4486.68,7906,8772.1,347107.1,32246.4,35974.2,0.83,38414.6,,38026.5,0.3,,32996.7,4375.26,7511,12949.1,451523.2,41329.5,43853.9,1.93,83.05,63.85,280527
Alok Industries Ltd.,11500.8,10569.9,47.4,,1.2,10573,8221.59,4372.5,1271.8,14331.8,8194.1,741.9,1.47,13414,12322.2,76.4,,2.9,13247,9361.27,10583.4,1467,22502.6,13019.5,701.9,1.37,57.1,51.21,9860.5
Ambuja Cements Ltd.,24523.7,19553.5,616.1,13,33.9,21177.7,9394,9532.9,2759.5,40616.5,3725.9,6072.2,2.52,31099.5,25925.8,527.2,66.7,49.1,26511.2,12473.24,9290.3,2889.8,40953,4570.3,6399.4,3.66,59.75,99.45,39444.9
Andhra Bank,29143.5,,27887.9,2.4,,24508.5,3649.57,12588.1,13108.5,270242.8,34449.2,,1.39,30353.1,,28449,0.2,,25152.1,4632.1,15926,16837.3,327386.3,42202.7,,2.35,96.8,62.5,246783.5
Arvind Ltd.,15349.9,13879.8,647.4,,21.7,14680.2,10245.45,8064.2,1688.4,29583,6392,1364.6,0.8,17350.3,16654.8,169.5,,3.8,16204.4,12020.73,9931.4,2345.3,32402.1,8822.5,-375.9,1.84,128.45,57.65,26551.9
Ashok Leyland Ltd.,40523.6,34340.2,515.9,20.8,,39118.1,28200.88,4632.3,6856.8,25812.9,12478.7,5259,2.93,49893.9,42417.5,720.2,39,,47361.8,35323.22,8453.9,9611.9,34089.6,18796.9,4477.6,2.19,12.28,18.7,24393.4
Aurobindo Pharma Ltd.,13631.3,12537.2,160.8,,2.6,12713.6,9674.23,3339.5,1550.9,16533.4,7723.8,455.2,2.51,11757.9,10848.7,75.6,,0.8,11499.4,9055.32,3683.6,1951.5,19477,7975.3,832,1.86,31.33,58.2,13329.2
Axis Bank Ltd.,21401.8,,21328.4,,14.9,18618.7,1734.76,10681,8208.2,241501.6,64769,23554.5,3.02,23681.9,,23441.2,,23.9,20336.1,2406.67,23997.1,9118.2,377997.5,64597,39463.3,2.69,49.79,53.59,196131.8
Ballarpur Industries Ltd.,20204.5,18044.2,127.6,10,,18536.1,13061.31,10316.4,2166.7,32424.5,6705.7,2826.1,0.71,20263.5,18002.3,82.1,,38.8,18629.9,12919.29,8987.5,2443,32176.5,6228.2,4189.7,1.16,22.32,21.07,30573.6
Bank Of Baroda,80742.8,,78423.5,1.1,,71072.8,10994.31,23659.3,37055.9,851086.6,94767.9,,1.39,77758.1,,75524.5,0.2,,70989.7,12167.88,28596.7,36965.5,946642.4,125157.8,15492.9,1.13,40.36,39.82,764245.8
Bank Of India,75896.8,,73483.4,107.6,,65813.6,9723.46,62478.9,31182.1,848934.4,99365.3,38649.7,0.75,71873.1,,69007.8,2.4,,68472.6,10456.18,71293,33832.1,950044.5,87285.9,-11642.2,1.18,107.6,102.25,766816.7
Bharat Electronics Ltd.,29483,27484.9,497.5,2.9,,26430.5,19778.45,329.5,24171.9,42700.2,32655.9,8930.5,3.19,33534.5,32011.5,706.6,7.7,,29300.1,22753.01,153.1,20117.6,45882.8,33108.4,837.7,3.36,239.83,357,33460.3
Bharat Forge Ltd.,9241.9,8361.7,107.9,24.6,2.6,7959.5,5391.33,2541.3,3380.8,11108.2,2883.2,2229.6,12.49,13205.2,12237.5,4,2.2,2.1,11867.6,7979.88,3268,4318.2,16373.5,4260.5,1379.3,12.88,293.83,313.8,8750
Bharat Heavy Electricals Ltd.,97014,80234.3,1735.8,23.7,,90126.3,60040.31,5373.7,51969,140917.4,100941.8,16955.1,2.79,113393.7,96330.8,2289.8,14.6,,109257.4,69798.98,5345,71204.5,174234.1,129152.9,8183,3.11,85.7,194.95,115590
Bharat Petroleum Corpn. Ltd.,545755.3,483784.3,2037.9,,1.6,525969.4,437492.22,11242.2,75245.3,182219,72393.9,25388.8,2.46,656071.9,578612.2,2176.9,38.4,,662276.4,556354.92,20032,88216,206667.3,88359.6,1693.4,1.66,185.63,167.25,171663.4
Bharti Airtel Ltd.,633,291.5,338.1,0.1,,629.3,238.64,2513.6,135.5,54727.5,3.1,-76.2,5.98,83090.3,80921.2,717.5,,3.9,70949.8,46255.18,48382.5,42079.9,146708.6,18189,30059,8.49,122.7,185,48371.4
Bongaigaon Refinery & Petrochemicals Ltd. [Merged],33217,28354.7,66.2,,,31155,22861.9,448.5,3396,14575.3,6507.5,1417.5,2.8,51647.4,44232.7,57.8,,,47355.8,35590.48,0,5152,19185.5,10199,3452.3,2.38,88.3,46.4,13501.3
C E S C Ltd.,25493.1,24106.5,25,,5.2,23622.1,16426.7,21188.4,11785.2,52176.6,9473.1,8748.4,0.63,24225.3,23791.9,20.8,,2.5,22753.3,15940.01,18076,11200.9,49211.4,8987.6,9435.7,1.11,203.15,252.9,58641.2
Cadila Healthcare Ltd.,12191,10555,731,34,,10690,6904,2978,1819,12863,3645,2039,5.29,12085,10854,534,,2,11064,6967.1,2978,1844,13466,3311,1331,4.75,32.68,37.97,12002
Canara Bank,91457.6,,87918.8,2.4,,78077.5,10812.35,24580.2,47192.7,993224.9,141477.9,122834.3,1.16,93362.7,,87574.3,4.2,,82267.7,13494.9,26937.6,45052.3,1104127.5,105915,-6309.3,1.37,217.2,200.75,821990.4
Century Textiles & Inds. Ltd.,26589.4,22335.4,475.7,175.5,16.2,26123.6,14965.11,4879.9,3334.7,26373.9,7235.7,1435.6,1.13,29075.9,24884.6,211.6,121.7,57.9,27879.9,16633.77,5852.4,3213.5,23910.7,6900.5,3097.2,2.76,286.65,357.75,25253.5
Chambal Fertilisers & Chemicals Ltd.,22576.7,22177.2,184.2,6.3,44.5,21293.1,15642.57,10409.2,2101.7,27817.9,6435.6,3480.7,1.02,27865.1,26787.5,734.2,3.1,6.3,26375.3,19431.74,8576.5,3302.1,28615.5,8410.4,3107.5,1.45,30.95,33.35,28727.9
Chennai Petroleum Corpn. Ltd.,94960,86349.1,121.4,3.8,22.8,91554.5,79108.57,21324.1,10538.9,57644.3,18687.4,6856.2,1.34,163847.4,139989.1,221.1,15.6,4.5,161851.9,127738.6,18127.8,18584.4,74588.6,34469.9,3855.8,1.71,185,178.95,48590.3
Cipla Ltd.,20909.9,19207,219.7,1.1,,17747.9,13183.52,51.7,3753.5,22203.4,10814.3,2435.7,5.61,24828.7,22522.5,657.4,14,,21401.3,15360.21,50.4,4944.6,26123.9,13585.5,1882.4,4.97,127.76,216,18176.9
Colgate-Palmolive (India) Ltd.,11096,9543.5,195.1,,1.6,10123.6,6015.59,0,1985.8,5515.3,2268.9,633.6,7.26,11067.6,9549.3,278.1,9.2,,10066.1,5805.54,39.8,2150.6,5738.2,1534.2,1034,9.91,125.13,194.78,6243.6
Corporation Bank,27215.2,,26200.3,0.7,,22173.8,2823.09,9268.3,22114.9,291536.9,38226.1,4629.1,1.45,28143.7,,26648.6,5.9,,24122,3144.78,12972.4,22714.7,339238.6,46115.5,1176.3,1.75,73.58,44.4,262719.8
Cummins India Ltd.,11129.7,9264.5,779.2,,26.4,10110.9,7859.33,51.5,1982.5,9806.4,4090.5,586.8,2.99,13853,11937.4,679.6,,50,12759.6,9905.17,27.4,2239.9,10642.9,5437.7,-356.9,3.17,96.36,136.11,9517
Dabur India Ltd.,11609.9,10012.4,56.7,17.2,0.6,10340.8,5964.98,296.6,1645.1,5527.6,1635.9,2054.5,8.53,12807,11251,60.4,1.1,1.5,11406.9,6424.81,183.1,2383.8,7218.3,1880.8,2113.8,9.41,22.01,47.43,7386.4
Divi'S Laboratories Ltd.,3216.5,3162.5,2.4,,0.4,2967.9,1832.8,60,532.2,3842.3,2016.9,260,8.12,3697.4,3623.5,5.3,,0.4,3288,2240.32,33.1,668.3,4553,2460.7,365.7,4.5,52.65,65.15,2942.5
Dr. Reddy'S Laboratories Ltd.,18225.9,16743.3,603.2,,29.3,15490.5,10245.66,262.8,2913.9,27028.4,11334.5,3593.7,3.64,17126.5,15580.1,447.9,26.8,,16768.2,10811.45,2730.7,3632.6,29976.6,16303.9,2505.3,2.73,380.7,633.98,23283
Escorts Ltd.,15016.2,11042.9,318.5,,25.6,18070.4,10355.51,5385.1,3439.6,22214.3,4236.2,244.7,0.84,18536.8,12699,5133.2,63,,18115.4,11503.51,4016.2,3519.4,21565.9,5257,-149.2,1.41,84.8,70.3,24304.7
