,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,NSE,,,,,,,,,,,,,,,,,,,,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,,,,,,,,,,,,,,,,,,,,,,
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs.,Times,Rs.,,,,,,,,,,,,,,,,,,,,,,
,Mar-03,Mar-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-04,Apr-05,Apr-05,Apr-05,Apr-05,Apr-05,Apr-05,Apr-05,Apr-05,Apr-05,Apr-05,Apr-05,1-Jul-05,1-Jul-05,3-Jul-06,,,,,,,,,,,,,,,,,,,,,,
Company Name,Total assets,Total assets,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Adjusted Opening Price ,P/B ,Adjusted Closing Price ,BM Ratio,Returns,ROA-This Year,ROA-Last Year,Delta_ROA,CFO,NegAccrual,Dliquid,Dlever,Net Sales-This Year,Net Sales-Last Year,Delta_Margin,Delta_Turn,F_ROA,F_DROA,F_CFO,F_Naccrual,F_LIQUID,F_LEVER,F_MARGIN,F_TURN,F_SCORE
A B B India Ltd.,11538.3,14478.7,16351.2,15016,233,2.3,101,12851.1,14657.7,11688.93,1.39,1340.3,167.5,24965.2,23657.8,38,7.4,14.9,15840.75,22571,18237.92,1.37,1772.4,158,261.3,7.23,499.1,0.1383125864,0.9100650593,0.08818471272,0.09572467348,-0.007539960763,0.1224143052,0.03422959244,-0.02,-0.006918637374,22571,14657.7,-0.01056441809,0.2842899976,1,0,1,1,0,1,0,1,5
A C C Ltd.,36014.5,39363.4,40610.3,38528.1,43.8,,13981.7,37688.95,31899.5,18746.16,0.82,4728.1,1112.2,46487.2,43237.7,121.4,,12367,41985.6,37869,21044.54,0.68,5889,227.6,380,3.96,781.65,0.2525252525,1.056973684,0.07946722082,0.05659942523,0.02286779559,0.1496059792,0.07013875834,-0.14,-0.0764227377,37869,31899.5,0.03194367561,0.05556343487,1,1,1,1,0,1,1,1,7
Aditya Birla Nuvo Ltd.,18084.1,20652.3,17716.5,16611.1,12.9,1.6,1048.8,19368.2,15721.7,11366.71,0.87,2147,437.9,20138.3,19060.1,50.8,,2853.1,21573.5,18615.9,13761.42,1.32,513.7,122.6,415.59,1.86,685.81,0.5376344086,0.6502081378,0.04974748575,0.0605006608,-0.01075317505,0.02487374288,-0.02487374288,0.45,0.07809959636,18615.9,15721.7,-0.01623439971,0.0511784091,1,0,1,0,1,0,0,1,4
Allahabad Bank,280527,347107.1,35946.2,31312.4,0.5,,7906,311500.75,,4486.68,3.68,35974.2,34666.5,38414.6,32996.7,0.3,,7511,395158.25,,4375.26,3.21,43853.9,38026.5,82.6,1.37,63.4,0.7299270073,-0.2324455206,0.01560786282,0.01651641375,-0.0009085509317,0.1263411207,0.1107332578,-0.47,-0.006372781414,38026.5,34666.5,0.01436590066,-0.01505758969,1,0,1,1,0,1,1,0,5
Alok Industries Ltd.,9860.5,14331.8,11500.8,10573,,1.2,4372.5,12096.15,10569.9,8221.59,1.54,741.9,47.4,13414,13247,,2.9,10583.4,18417.2,12322.2,9361.27,3.02,701.9,76.4,56.15,1.34,51.48,0.7462686567,-0.08317008014,0.01185475656,0.09421428934,-0.08235953278,0.04897500663,0.03712025007,1.48,0.2131689597,12322.2,10569.9,0.01812276098,-0.2047641317,1,0,1,1,1,0,1,0,5
Ambuja Cements Ltd.,39444.9,40616.5,24523.7,21177.7,13,33.9,9532.9,40030.7,19553.5,9394,0.59,6072.2,616.1,31099.5,26511.2,66.7,49.1,9290.3,40784.75,25925.8,12473.24,0.82,6399.4,527.2,59.7,3.71,99.05,0.269541779,0.6591289782,0.1125330838,0.08535704236,0.02717604149,0.157556658,0.04502357416,0.23,-0.01035115482,25925.8,19553.5,-0.0006875232777,0.1472112682,1,1,1,1,1,1,0,1,7
Andhra Bank,246783.5,270242.8,29143.5,24508.5,2.4,,12588.1,258513.15,,3649.57,2.54,,27887.9,30353.1,25152.1,0.2,,15926,298814.55,,4632.1,2.41,,28449,95.4,2.01,61.85,0.4975124378,-0.3516771488,0.01924491605,0.01877191952,0.0004729965368,0,-0.01924491605,-0.13,0.004603036129,28449,27887.9,-0.03195547284,-0.01267186386,1,1,0,0,0,0,0,0,2
Arvind Ltd.,26551.9,29583,15349.9,14680.2,,21.7,8064.2,28067.45,13879.8,10245.45,0.88,1364.6,647.4,17350.3,16204.4,,3.8,9931.4,30992.55,16654.8,12020.73,0.92,-375.9,169.5,126.7,1.99,57.85,0.5025125628,-0.543409629,0.03886353649,0.02603956779,0.0128239687,-0.01270662205,-0.05157015854,0.04,0.03312973055,16654.8,13879.8,0.01639775745,0.04286486823,1,1,0,0,1,0,1,1,5
Ashok Leyland Ltd.,24393.4,25812.9,40523.6,39118.1,20.8,,4632.3,24847.6,34340.2,28200.88,1.41,5259,515.9,49893.9,47361.8,39,,8453.9,29702.15,42417.5,35323.22,1.55,4477.6,720.2,12,2.42,19.07,0.4132231405,0.5891666667,0.0965834912,0.05676535456,0.03981813664,0.1734636558,0.07688016457,0.14,0.09819402572,42417.5,34340.2,-0.01153049484,0.04606240017,1,1,1,1,1,0,0,1,6
Aurobindo Pharma Ltd.,13329.2,16533.4,13631.3,12713.6,,2.6,3339.5,14931.3,12537.2,9674.23,1.68,455.2,160.8,11757.9,11499.4,,0.8,3683.6,18005.2,10848.7,9055.32,1.2,832,75.6,30,2.01,58.23,0.4975124378,0.941,0.0156834045,0.06904390361,-0.05336049911,0.05032237773,0.03463897323,-0.48,-0.01907234352,10848.7,12537.2,-0.06304972079,-0.2371274805,1,0,1,1,0,1,0,0,4
