,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,NSE,,,,,,,,,,,,,,,,,,,,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,,,,,,,,,,,,,,,,,,,,,,
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs.,Times,Rs.,,,,,,,,,,,,,,,,,,,,,,
,Mar-07,Mar-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,1-Jul-09,1-Jul-09,1-Jul-10,,,,,,,,,,,,,,,,,,,,,,
Company Name,Total assets,Total assets,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Adjusted Opening Price ,P/B ,Adjusted Closing Price ,BM Ratio,Returns,ROA-This Year,ROA-Last Year,Delta_ROA,CFO,NegAccrual,Dliquid,Dlever,Net Sales-This Year,Net Sales-Last Year,Delta_Margin,Delta_Turn,F_ROA,F_DROA,F_CFO,F_Naccrual,F_LIQUID,F_LEVER,F_MARGIN,F_TURN,F_SCORE
A B B India Ltd.,32556.6,47239.8,64543.2,60159.9,,0.2,5.6,39751.45,59403.7,46942.94,1.3,2724.8,277.3,74706.6,69970.3,46,,0.2,51516.95,68595.3,54692.43,1.34,196.7,639.4,780,7.29,860.6,0.1371742112,0.1033333333,0.09928704186,0.1346424381,-0.03535539623,0.004163861828,-0.09512318003,0.04,-0.0001369931469,68595.3,59403.7,-0.007084408613,-0.1628688543,1,0,1,0,1,1,0,0,4
A C C Ltd.,60132,71195.7,82928.1,68611.5,2014.3,98.8,2903.8,65663.85,67874.3,28766.43,0.89,20217.5,1223.4,86199.3,74074.7,122.9,89.1,4820.3,78828.95,71084.2,32528.7,0.86,17070.5,1367.9,765,2.46,866.6,0.406504065,0.1328104575,0.169824863,0.2062312912,-0.03640642814,0.2397686939,0.06994383088,-0.03,0.01692665317,71084.2,67874.3,-0.03378884228,-0.1319106537,1,0,1,1,0,0,0,0,3
Aban Offshore Ltd.,18976.4,27093.6,7387.8,5796.8,,8.8,11292.5,23035,6829,2597.14,0.57,1983,478.7,12296.1,9698.5,26.9,,30524.2,36849.1,10050.7,3527.75,1.63,4479,2103.9,908,3.38,849.25,0.2958579882,-0.06470264317,0.0948821862,0.08430471533,0.01057747087,0.1653157941,0.07043360794,1.06,0.3381244753,10050.7,6829,0.02931498771,-0.0237089756,1,1,1,1,1,0,1,0,6
Aditya Birla Nuvo Ltd.,66167.8,76938.3,42600.4,41001.4,326.4,,16302.9,71553.05,39194.9,28714.12,0.91,2787.1,225.2,51227.5,50032.1,58.3,,22274.1,86472.5,47860.3,36394.27,0.57,4351.8,542.3,879,2.26,762.1,0.4424778761,-0.1329920364,0.01477937516,0.01923291994,-0.004453544778,0.05656220634,0.04178283118,-0.34,0.02974240066,47860.3,39194.9,-0.02782874432,0.00570023165,1,0,1,1,0,0,0,1,4
Allahabad Bank,676759.4,829435.3,73059.2,63311.8,,0.2,23688.9,744288.4,,5880.15,2.31,53346.7,72772.3,87075.7,79389.7,0.4,,38489.3,894248.15,,7259.74,2.82,62218.4,86727.3,78,0.66,160.1,1.515151515,1.052564103,0.009266063308,0.0144033463,-0.005137282992,0.07501296364,0.06574690033,0.51,0.01121337939,86727.3,72772.3,-0.002905631658,-0.0007908477713,1,0,1,1,1,0,0,0,4
Alstom India Ltd.,15020.3,21052.6,16517,15783.9,,10.2,16.9,17949.55,15439.6,12991.79,0.88,2226.4,220.2,23744,22471.4,1.2,,11.3,25012.1,22862.8,19022.63,0.77,1796.5,317.8,496,7.41,659.55,0.1349527665,0.3297379032,0.06039159059,0.04948636179,0.0109052288,0.085333878,0.02494228741,-0.11,-0.0004897464442,22862.8,15439.6,0.009424841569,0.05390317946,1,1,1,1,0,1,1,1,7
Ambuja Cements Ltd.,54654,65759.2,74133.2,56974.9,3321.2,63,3304.2,60206.6,55864.3,21092.87,1.28,15516.8,6541.5,76302.1,62905.6,226.6,42.6,2886.7,72146.45,61679.8,26733.04,1.47,9755.8,4832.3,88,2.16,113.05,0.462962963,0.2846590909,0.2009224565,0.2543290519,-0.05340659538,0.1483564277,-0.05256602878,0.19,-0.01486935563,61679.8,55864.3,-0.05584311681,-0.07295173018,1,0,1,0,1,1,0,0,4
Andhra Bank,475579,566243.5,48548.2,42792.5,2.4,,17043.1,520911.25,,4504.35,3.28,21206.4,45985.9,61576.8,55046.3,3.4,,33511.5,625767.9,,5552.67,3.38,7643.5,58631.5,82.05,1.01,129.3,0.9900990099,0.5758683729,0.01152701974,0.01209746435,-0.0005704446178,0.0134986097,0.001971589961,0.1,0.02083474572,58631.5,45985.9,0.003246123172,0.005415560875,1,0,1,1,1,0,1,1,6
Ashok Leyland Ltd.,45250.2,55931.2,92764.5,89046.2,41.9,44.9,7731.7,50364,79848.1,66760.97,0.88,9646.6,696.2,69184.4,67292.2,37.4,11.5,18748.1,60660.3,61646.9,53313.08,1.1,-5263.3,823.9,15,1.93,31.3,0.518134715,1.086666667,0.03336778042,0.08223831055,-0.04887053013,-0.0941031124,-0.1274708928,0.22,0.1555506498,61646.9,79848.1,-0.02871397102,-0.5691557971,1,0,0,0,1,0,0,0,2
Asian Paints Ltd.,15593.9,30133.7,41458.2,38045.2,9.3,,638.3,22863.8,35890.8,22371.25,0.44,4572.9,302.7,50897.9,47280.4,60.8,,652.9,31845.45,44987.5,29741.4,0.49,3252.1,207,117.57,9.03,232.98,0.1107419712,0.9816279663,0.1180306434,0.2182712471,-0.1002406037,0.1079223594,-0.01010828408,0.05,-0.007415350082,44987.5,35890.8,-0.03778930865,-0.1570831173,1,0,1,0,1,1,0,0,4
