,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Nos.,Rs. Million,Rs.,Rs. Million,Rs. Million,Times,Times
,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006
Company Name,Shares Outstanding ,Market Capitalisation,BV per Share ,Turnover ,Enterprise value,Market Capitalisation / Enterprise Value,Enterprise Value / PBDITA
Indian Hotels Co. Ltd.,56569396.00,73953.17,313.58,187.86,82740.57,0.89,31.20
Indian Oil Corpn. Ltd.,1168012200.00,596503.83,230.04,107.14,712621.13,0.84,8.07
Indian Overseas Bank,544800000.00,60908.64,55.29,35.22,28603.24,2.13,0.79
Indian Petrochemicals Corpn. Ltd. [Merged],248225622.00,62962.43,148.83,359.19,63916.73,0.99,3.51
Indusind Bank Ltd.,290318736.00,15227.22,31.97,19.68,12217.02,1.25,1.05
Infosys Ltd.,274702591.00,791225.87,254.87,876.24,764735.87,1.03,30.04
Jaiprakash Power Ventures Ltd.,491000600.00,15785.67,13.18,13.48,26193.17,0.60,9.27
Jammu & Kashmir Bank Ltd.,48477702.00,25620.47,375.31,32.44,-2097.43,-12.22,-0.15
Jet Airways (India) Ltd.,86334011.00,86044.79,228.86,366.75,88212.19,0.98,7.71
Jindal Stainless Ltd.,113816872.00,10357.34,81.24,95.91,22581.34,0.46,4.10
Jindal Steel & Power Ltd.,30792268.00,47878.90,565.29,48.61,62504.60,0.77,6.70
Karnataka Bank Ltd.,121260348.00,13490.21,90.97,40.34,2202.01,6.13,0.25
Kochi Refineries Ltd. [Merged],138469780.00,23643.71,200.76,9.28,28296.81,0.84,2.00
L I C Housing Finance Ltd.,84932600.00,16663.78,160.38,50.12,126661.08,0.13,11.95
Mahanagar Telephone Nigam Ltd.,630000000.00,89271.00,180.82,154.99,64097.10,1.39,3.25
Maharashtra Seamless Ltd.,28822560.00,16986.58,141.44,73.06,18049.28,0.94,12.81
Mahindra & Mahindra Ltd.,235240881.00,131358.51,106.94,731.21,133965.61,0.98,14.40
Mangalore Refinery & Petrochemicals Ltd.,1752902327.00,79406.48,14.58,42.76,114072.08,0.70,5.32
Maruti Suzuki India Ltd.,288910060.00,219152.73,180.22,690.75,198443.73,1.10,10.61
Mphasis Ltd.,160492871.00,27845.51,39.45,85.59,27757.61,1.00,46.64
Mylan Laboratories Ltd.,153222210.00,39025.70,55.76,308.18,37834.70,1.03,20.15
N T P C Ltd.,8245464400.00,944105.67,56.23,1260.51,1019640.67,0.93,10.78
Nagarjuna Fertilizers & Chemicals Ltd. [Merged],428181821.00,6123.00,20.18,23.34,21230.60,0.29,6.41
National Aluminium Co. Ltd.,644309628.00,177958.32,87.76,318.86,170406.22,1.04,6.95
New Delhi Television Ltd.,60802632.00,12753.35,30.61,142.32,12215.55,1.04,26.87
Neyveli Lignite Corpn. Ltd.,1677709600.00,121130.63,50.35,66.51,87832.93,1.38,3.80
Oil & Natural Gas Corpn. Ltd.,1425933992.00,1764308.13,408.09,865.51,1660296.23,1.06,6.05
Oracle Financial Services Software Ltd.,76085820.00,87179.13,165.30,108.70,81752.13,1.07,28.66
Orchid Chemicals & Pharmaceuticals Ltd.,61505469.00,16246.67,117.60,198.02,25909.37,0.63,15.10
Oriental Bank Of Commerce,250539700.00,62885.46,207.04,55.36,1205.46,52.17,0.04
Polaris Consulting & Services Ltd.,98229997.00,11650.08,54.91,167.23,10694.58,1.09,9.67
Punjab National Bank,315302500.00,146726.02,285.42,388.59,86447.32,1.70,1.15
Ranbaxy Laboratories Ltd. [Merged],372474193.00,148766.19,63.82,658.10,157894.09,0.94,47.00
Reliance Capital Ltd.,207366245.00,99566.90,169.50,1894.38,108306.50,0.92,35.42
Reliance Industries Ltd.,1393508041.00,994825.39,317.48,4436.50,1106128.89,0.90,7.71
S R F Ltd.,64526089.00,17815.65,73.43,123.80,21918.05,0.81,13.18
Satyam Computer Services Ltd. [Merged],323586104.00,241637.92,128.80,869.50,218103.52,1.11,21.61
Shipping Corpn. Of India Ltd.,282302430.00,46438.75,151.76,66.88,41607.85,1.12,2.23
Siemens Ltd.,33138403.00,148675.45,250.40,366.81,143318.35,1.04,33.44
State Bank Of India,526298878.00,466485.01,524.90,2124.35,299755.61,1.56,0.99
Sterlite Industries (India) Ltd. [Merged],111351189.00,151821.78,351.53,209.93,169297.08,0.90,53.69
Strides Shasun Ltd.,34954289.00,12066.22,82.56,9.11,14964.42,0.81,17.03
Sun Pharmaceutical Inds. Ltd.,185515630.00,129081.78,78.25,203.14,131833.88,0.98,35.36
Suzlon Energy Ltd.,287531380.00,335649.76,91.83,3185.10,339143.16,0.99,68.61
Syndicate Bank,521968282.00,50604.82,53.18,153.27,29123.22,1.74,0.93
T V S Motor Co. Ltd.,237543557.00,27745.09,32.28,82.76,27948.99,0.99,9.25
Tata Chemicals Ltd.,215102651.00,52216.17,106.29,91.48,50496.27,1.03,8.08
Tata Communications Ltd.,285000000.00,109169.25,213.90,1491.87,92051.35,1.19,6.50
Tata Consultancy Services Ltd.,480114809.00,801983.78,108.30,313.68,794447.78,1.01,34.24
Tata Global Beverages Ltd.,56219857.00,52402.53,212.51,128.46,51373.83,1.02,25.76
Tata Motors Ltd.,377404391.00,267372.14,139.44,1253.21,257949.34,1.04,10.85
Tata Power Co. Ltd.,197897864.00,93368.21,283.39,246.13,95277.41,0.98,7.23
Tata Steel Ltd.,553472856.00,223852.10,176.76,2770.80,230913.40,0.97,3.75
Titan Company Ltd.,42276270.00,30525.58,41.07,558.52,33658.18,0.91,26.87
Union Bank Of India,460117900.00,56962.60,79.76,60.00,27898.50,2.04,0.61
Vijaya Bank,433517800.00,26617.99,39.16,15.98,21580.59,1.23,1.10
Wipro Ltd.,1422268744.00,753375.75,44.00,713.48,727859.65,1.04,37.27
Wockhardt Ltd.,109380601.00,52874.58,73.77,42.64,54510.88,0.97,17.18
